"baseData","ruleCode","count"
"CommanderBridge","SEM_UNDECLARED_VARIABLE","22"
"CommanderBridge","SYNTAX_NO_LOCAL_INIT_ASSIGN","7"
"CommanderBridge","XLIB_DISALLOWED_NATIVE","3"
"CommanderBridge","XLIB_UNDEFINED_CROSS_REF","7"
"CoopZeroPop","SEM_INVALID_TEXT_CONCAT","33"
"CoopZeroPop","SEM_UNDECLARED_FUNCTION","11"
"CoopZeroPop","SYNTAX_NO_CONTINUE","18"
"CoopZeroPop","SYNTAX_NO_LOCAL_INIT_ASSIGN","289"
"CoopZeroPop","XLIB_DISALLOWED_NATIVE","18"
"CoopZeroPop","XLIB_UNDEFINED_CROSS_REF","7"
"CoreRuntime","SEM_INVALID_TEXT_CONCAT","33"
"CoreRuntime","SEM_UNDECLARED_FUNCTION","11"
"CoreRuntime","SYNTAX_NO_CONTINUE","18"
"CoreRuntime","SYNTAX_NO_LOCAL_INIT_ASSIGN","281"
"CoreRuntime","XLIB_DISALLOWED_NATIVE","15"
"CoreRuntime","XLIB_UNDEFINED_CROSS_REF","44"
