"baseData","ruleCode","file","line","column","message","rawOutputFile"
"CoreRuntime","SYNTAX_NO_LOCAL_INIT_ASSIGN","Lib67C0F0E7.galaxy","575","5","Galaxy 局部变量不能用 = 初始化，必须先声明再赋值","01-CoreRuntime.txt"
"CoreRuntime","SYNTAX_NO_LOCAL_INIT_ASSIGN","Lib67C0F0E7.galaxy","576","5","Galaxy 局部变量不能用 = 初始化，必须先声明再赋值","01-CoreRuntime.txt"
"CoreRuntime","SYNTAX_NO_LOCAL_INIT_ASSIGN","Lib67C0F0E7.galaxy","605","5","Galaxy 局部变量不能用 = 初始化，必须先声明再赋值","01-CoreRuntime.txt"
"CoreRuntime","SYNTAX_NO_LOCAL_INIT_ASSIGN","Lib67C0F0E7.galaxy","606","5","Galaxy 局部变量不能用 = 初始化，必须先声明再赋值","01-CoreRuntime.txt"
"CoreRuntime","SYNTAX_NO_LOCAL_INIT_ASSIGN","Lib67C0F0E7.galaxy","607","5","Galaxy 局部变量不能用 = 初始化，必须先声明再赋值","01-CoreRuntime.txt"
"CoreRuntime","SYNTAX_NO_LOCAL_INIT_ASSIGN","Lib67C0F0E7.galaxy","641","5","Galaxy 局部变量不能用 = 初始化，必须先声明再赋值","01-CoreRuntime.txt"
"CoreRuntime","SYNTAX_NO_LOCAL_INIT_ASSIGN","Lib67C0F0E7.galaxy","642","5","Galaxy 局部变量不能用 = 初始化，必须先声明再赋值","01-CoreRuntime.txt"
"CoreRuntime","SYNTAX_NO_LOCAL_INIT_ASSIGN","Lib67C0F0E7.galaxy","643","5","Galaxy 局部变量不能用 = 初始化，必须先声明再赋值","01-CoreRuntime.txt"
"CoreRuntime","SYNTAX_NO_LOCAL_INIT_ASSIGN","Lib67C0F0E7.galaxy","644","5","Galaxy 局部变量不能用 = 初始化，必须先声明再赋值","01-CoreRuntime.txt"
"CoreRuntime","SYNTAX_NO_LOCAL_INIT_ASSIGN","Lib67C0F0E7.galaxy","683","5","Galaxy 局部变量不能用 = 初始化，必须先声明再赋值","01-CoreRuntime.txt"
"CoreRuntime","SYNTAX_NO_LOCAL_INIT_ASSIGN","Lib67C0F0E7.galaxy","684","5","Galaxy 局部变量不能用 = 初始化，必须先声明再赋值","01-CoreRuntime.txt"
