caseId	mode	left	right	catalog	id	field	leftEffective	rightEffective	leftCommander	rightCommander
cmp-marine-card-declared-effective	compare	E:\Code\MyMod\SC2\合作指挥官-起义狂潮\Maps\traynor01_7vs1.SC2Map	E:\Code\MyMod\SC2\合作指挥官-起义狂潮\Maps\traynor01_7vs1.SC2Map	Unit	MarineRaynor	CardLayouts	false	true		TerranRaynor
cmp-marauder-card-declared-effective	compare	E:\Code\MyMod\SC2\合作指挥官-起义狂潮\Maps\traynor01_7vs1.SC2Map	E:\Code\MyMod\SC2\合作指挥官-起义狂潮\Maps\traynor01_7vs1.SC2Map	Unit	MarauderRaynor	CardLayouts	false	true		TerranRaynor
cmp-vulture-card-declared-effective	compare	E:\Code\MyMod\SC2\合作指挥官-起义狂潮\Maps\traynor01_7vs1.SC2Map	E:\Code\MyMod\SC2\合作指挥官-起义狂潮\Maps\traynor01_7vs1.SC2Map	Unit	VultureRaynor	CardLayouts	false	true		TerranRaynor
cmp-barracks-train-declared-effective	compare	E:\Code\MyMod\SC2\合作指挥官-起义狂潮\Maps\traynor01_7vs1.SC2Map	E:\Code\MyMod\SC2\合作指挥官-起义狂潮\Maps\traynor01_7vs1.SC2Map	Abil	BarracksTrainRaynor	InfoArray	false	true		TerranRaynor
cmp-factory-train-declared-effective	compare	E:\Code\MyMod\SC2\合作指挥官-起义狂潮\Maps\traynor01_7vs1.SC2Map	E:\Code\MyMod\SC2\合作指挥官-起义狂潮\Maps\traynor01_7vs1.SC2Map	Abil	FactoryTrainRaynor	InfoArray	false	true		TerranRaynor
trace-marine-abilities	trace	E:\Code\MyMod\SC2\合作指挥官-起义狂潮\Maps\traynor01_7vs1.SC2Map		Unit	MarineRaynor	AbilArray	true		TerranRaynor	""
trace-marauder-abilities	trace	E:\Code\MyMod\SC2\合作指挥官-起义狂潮\Maps\traynor01_7vs1.SC2Map		Unit	MarauderRaynor	AbilArray	true		TerranRaynor	""
trace-vulture-abilities	trace	E:\Code\MyMod\SC2\合作指挥官-起义狂潮\Maps\traynor01_7vs1.SC2Map		Unit	VultureRaynor	AbilArray	true		TerranRaynor	""
trace-barracks-card	trace	E:\Code\MyMod\SC2\合作指挥官-起义狂潮\Maps\traynor01_7vs1.SC2Map		Unit	BarracksRaynor	CardLayouts	true		TerranRaynor	""
trace-factory-card	trace	E:\Code\MyMod\SC2\合作指挥官-起义狂潮\Maps\traynor01_7vs1.SC2Map		Unit	FactoryRaynor	CardLayouts	true		TerranRaynor	""
trace-super-stim	trace	E:\Code\MyMod\SC2\合作指挥官-起义狂潮\Maps\traynor01_7vs1.SC2Map		Abil	SuperStimpackMarineRaynor	CmdButtonArray	true		TerranRaynor	""
trace-afterburners	trace	E:\Code\MyMod\SC2\合作指挥官-起义狂潮\Maps\traynor01_7vs1.SC2Map		Abil	VehicleAfterburners	CmdButtonArray	true		TerranRaynor	""
trace-have-raynor	trace	E:\Code\MyMod\SC2\合作指挥官-起义狂潮\Maps\traynor01_7vs1.SC2Map		Requirement	HaveRaynorCommander		true		TerranRaynor	""
trace-not-have-raynor	trace	E:\Code\MyMod\SC2\合作指挥官-起义狂潮\Maps\traynor01_7vs1.SC2Map		Requirement	NotHaveRaynorCommander		true		TerranRaynor	""
trace-nova-mastery-gate	trace	E:\Code\MyMod\SC2\合作指挥官-起义狂潮\Maps\traynor01_7vs1.SC2Map		Requirement	HaveMasteryNovaArmyAttackSpeed		true		TerranRaynor	""
